
   INFO  Server running on [http://10.255.1.41:8001].  

  Press Ctrl+C to stop the server
  2026-01-07 13:53:14 /assets/css/app.css .......................... ~ 0.41ms
  2026-01-07 13:53:14 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 13:53:15 /dashboard/inactive_users/date ............. ~ 500.94ms
  2026-01-07 13:53:15 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 13:53:15 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 13:53:40 /dashboard/inactive_users/date ............... ~ 0.56ms
  2026-01-07 13:53:41 /assets/css/app.css .......................... ~ 0.50ms
  2026-01-07 13:53:41 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 13:53:43 /dashboard/inactive_users ........................ ~ 1s
  2026-01-07 13:54:09 /dashboard/inactive_users ........................ ~ 2s
  2026-01-07 13:54:34 /dashboard/inactive_users .................. ~ 500.92ms
  2026-01-07 13:54:35 /assets/css/app.css .......................... ~ 0.61ms
  2026-01-07 13:54:35 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 13:55:27 /dashboard/inactive_users ........................ ~ 1s
  2026-01-07 13:55:29 /assets/css/app.css .......................... ~ 0.36ms
  2026-01-07 13:55:29 /assets/images/logo.png ...................... ~ 0.38ms
  2026-01-07 13:56:59 /dashboard/inactive_users ........................ ~ 1s
  2026-01-07 13:57:01 /assets/css/app.css .......................... ~ 0.56ms
  2026-01-07 13:57:01 /assets/images/logo.png ...................... ~ 0.35ms
  2026-01-07 13:59:22 /dashboard/inactive_users ........................ ~ 1s
  2026-01-07 13:59:25 /assets/css/app.css .......................... ~ 0.59ms
  2026-01-07 13:59:25 /assets/images/logo.png ...................... ~ 0.59ms
  2026-01-07 14:00:05 /dashboard/inactive_users ........................ ~ 1s
  2026-01-07 14:00:06 /assets/css/app.css ........................ ~ 500.99ms
  2026-01-07 14:00:06 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 14:00:19 /dashboard/inactive_users ........................ ~ 1s
  2026-01-07 14:00:21 /assets/css/app.css .......................... ~ 0.37ms
  2026-01-07 14:00:21 /assets/images/logo.png ...................... ~ 0.46ms
  2026-01-07 14:51:16 /dashboard/payments ........................ ~ 500.95ms
  2026-01-07 15:02:14 /dashboard/payments .......................... ~ 0.57ms
  2026-01-07 15:02:17 /dashboard/inactive_users .................. ~ 500.98ms
  2026-01-07 15:02:21 /dashboard/payments ........................ ~ 500.94ms
  2026-01-07 15:02:38 /dashboard/inactive_users/date ............... ~ 0.67ms
  2026-01-07 15:02:38 /assets/css/app.css .......................... ~ 0.79ms
  2026-01-07 15:02:38 /assets/images/logo.png ...................... ~ 0.51ms
  2026-01-07 15:02:39 /dashboard/payments/date ................... ~ 501.22ms
  2026-01-07 15:03:03 /dashboard/payments/date ..................... ~ 0.55ms
  2026-01-07 15:03:04 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:03:04 /assets/images/logo.png ...................... ~ 0.36ms
  2026-01-07 15:03:36 /dashboard/payments/date ..................... ~ 0.60ms
  2026-01-07 15:03:36 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:03:36 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:03:52 /dashboard/payments/date ................... ~ 500.91ms
  2026-01-07 15:03:53 /assets/css/app.css .......................... ~ 0.48ms
  2026-01-07 15:03:53 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:04:04 /dashboard/payments/date ..................... ~ 0.49ms
  2026-01-07 15:04:04 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:04:04 /assets/images/logo.png ...................... ~ 0.33ms
  2026-01-07 15:04:15 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:05:22 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:05:23 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 15:05:23 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:07:12 /dashboard/payments ........................ ~ 500.95ms
  2026-01-07 15:07:13 /assets/css/app.css .......................... ~ 0.42ms
  2026-01-07 15:07:13 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:09:46 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:09:47 /assets/css/app.css .......................... ~ 0.21ms
  2026-01-07 15:09:47 /assets/images/logo.png ...................... ~ 0.20ms
  2026-01-07 15:10:09 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:10:10 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:10:10 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:10:19 /dashboard/payments ........................ ~ 501.01ms
  2026-01-07 15:10:20 /assets/css/app.css .......................... ~ 0.37ms
  2026-01-07 15:10:20 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:10:27 /dashboard/payments ........................ ~ 500.94ms
  2026-01-07 15:10:28 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:10:28 /assets/images/logo.png ...................... ~ 0.33ms
  2026-01-07 15:10:39 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:10:40 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 15:10:40 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:10:44 /dashboard/payments ........................ ~ 500.89ms
  2026-01-07 15:10:45 /assets/css/app.css .......................... ~ 0.27ms
  2026-01-07 15:10:45 /assets/images/logo.png ...................... ~ 0.27ms
  2026-01-07 15:10:55 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:10:56 /assets/css/app.css .......................... ~ 0.34ms
  2026-01-07 15:10:56 /assets/images/logo.png ...................... ~ 0.33ms
  2026-01-07 15:11:18 /dashboard/payments ........................ ~ 500.91ms
  2026-01-07 15:11:19 /assets/css/app.css .......................... ~ 0.35ms
  2026-01-07 15:11:19 /assets/images/logo.png ...................... ~ 0.34ms
  2026-01-07 15:11:33 /dashboard/payments .............................. ~ 1s
  2026-01-07 15:11:34 /assets/css/app.css .......................... ~ 0.28ms
  2026-01-07 15:11:34 /assets/images/logo.png ...................... ~ 0.21ms
  2026-01-07 15:11:59 /dashboard/payments/date ..................... ~ 0.67ms
  2026-01-07 15:12:00 /assets/css/app.css .......................... ~ 0.34ms
